token_id,bucket_object,bucket_url,local_source,dump_file,copied,size,updated,md5Hash,metadata_file_in_bucket
"1041","1041.png","https://storage.googleapis.com/seared-wagdie-images/1041.png","public/images/characters/1041.png","data/gcs-bucket-dump/images/1041.png","true","8669","2023-09-06T19:31:25.816Z","SuZm1aA99ey7T9Bq7uYsqQ==","false"
"1042","1042.png","https://storage.googleapis.com/seared-wagdie-images/1042.png","public/images/characters/1042.png","data/gcs-bucket-dump/images/1042.png","true","8864","2023-09-06T19:31:26.424Z","C/WSMagDKBWq1FRU5dPQ/A==","false"
"1043","1043.png","https://storage.googleapis.com/seared-wagdie-images/1043.png","public/images/characters/1043.png","data/gcs-bucket-dump/images/1043.png","true","8899","2023-09-06T19:31:26.908Z","i4dIOzhRhs+f7sBmqGsqJQ==","false"
"1044","1044.png","https://storage.googleapis.com/seared-wagdie-images/1044.png","public/images/characters/1044.png","data/gcs-bucket-dump/images/1044.png","true","8878","2023-09-06T19:31:27.517Z","FLm2zMNktHHvJ43as5W0aQ==","false"
"1045","1045.png","https://storage.googleapis.com/seared-wagdie-images/1045.png","public/images/characters/1045.png","data/gcs-bucket-dump/images/1045.png","true","8429","2023-09-06T19:31:27.991Z","BG0TvZ/79k6lY21Pa4j7hg==","false"
"1046","1046.png","https://storage.googleapis.com/seared-wagdie-images/1046.png","public/images/characters/1046.png","data/gcs-bucket-dump/images/1046.png","true","9933","2023-09-06T19:31:28.660Z","jDVWSKhgHQxKhRBrfyjdkA==","false"
"1058","1058.png","https://storage.googleapis.com/seared-wagdie-images/1058.png","public/images/characters/1058.png","data/gcs-bucket-dump/images/1058.png","true","7493","2023-10-27T23:57:17.502Z","le/wBI+GTOw+8tkhXY7BAA==","false"
"1106","1106.png","https://storage.googleapis.com/seared-wagdie-images/1106.png","public/images/characters/1106.png","data/gcs-bucket-dump/images/1106.png","true","8644","2023-01-17T22:47:27.414Z","j2zBKzJBEAMda1D+bXDbGQ==","false"
"1121","1121.png","https://storage.googleapis.com/seared-wagdie-images/1121.png","public/images/characters/1121.png","data/gcs-bucket-dump/images/1121.png","true","7870","2023-07-19T00:15:13.892Z","qAQI/sXk/zp+BmgyVbNdBQ==","false"
"1139","1139.png","https://storage.googleapis.com/seared-wagdie-images/1139.png","public/images/characters/1139.png","data/gcs-bucket-dump/images/1139.png","true","9459","2023-01-17T22:47:27.600Z","pJ7WuzGC/ANI4NeMU9k7aA==","false"
